weatherlight,49,17015661,17016039 17016251 17015975 17015853 17016278 17016181 17016002 17016177 17016184 17016038 17016168 17016191 17016072 17016103 17016015 17016074 17016093 17016031 17016189,238,1525721051,Conversations with a six-year-old on functional programming,story,https://byorgey.wordpress.com/2018/05/06/conversations-with-a-six-year-old-on-functional-programming/
JustinGarrison,59,17014128,17015117 17016399 17015270 17015163 17014680 17015788 17014634 17015450 17016303 17015627 17015427 17015278 17014764 17015976 17014395 17015546,209,1525711042,The Economics of Writing a Technical Book,story,https://medium.com/p/the-economics-of-writing-a-technical-book-689d0c12fe39
cfadvan,0,17016077,,23,1525723831,"Tech watchdogs call on Facebook, Google for transparency around censored content",story,https://techcrunch.com/2018/05/07/santa-clara-principles-eff-cdt-aclu-facebook-google-twitter/
mathisonian,33,17015043,17016460 17015848 17016415 17016395 17015869 17015505 17015248 17016313 17015370 17016382 17016235 17015530 17015882 17015740 17015814 17015702 17015487 17015524 17015419 17015574 17015286,76,1525717136,Show HN: How to Tune a Guitar,story,https://mathisonian.github.io/idyll/how-to-tune-a-guitar/
dsr12,72,16996928,17014470 17014631 17014655 17014565 17014839 17015084 17016220 17014531 17015626 17014244 17015024,162,1525458122,Walmart Beats Amazon in $15B Flipkart Battle,story,https://www.bloomberg.com/news/articles/2018-05-04/flipkart-board-is-said-to-approve-15-billion-deal-with-walmart
mlboss,0,17015572,,35,1525720516,"Cutting Edge Deep Learning for Coders, Part 2",story,http://course.fast.ai/part2.html
ttandon,0,17016397,,1,1525726383,Athelas(YC16/Sequoia) is hiring SWEs to make blood-testing radically affordable,job,
amasad,4,17015055,17016264 17015147 17016123 17016364,46,1525717213,Using Prediction Markets to Track Information Flows:  Evidence from Google [pdf],story,https://www.stat.berkeley.edu/users/aldous/157/Papers/GooglePredictionMarketPaper.pdf
maxpert,7,17006565,17015591 17016428 17015586 17016017,59,1525617586,Cosmos – The universe of algorithm and data structures,story,https://github.com/OpenGenus/cosmos
robin_reala,214,17012995,17016462 17016443 17013501 17013446 17013571 17014533 17015042 17013444 17014542 17013367 17013640,207,1525703342,Concorde ‘B’,story,https://www.heritageconcorde.com/concorde-b
jonbaer,21,17014255,17014557 17014757 17014490 17014862 17015102,76,1525711951,That New Memory Smell: Tech Can Tell If Your Flash Is New or Recycled,story,https://spectrum.ieee.org/tech-talk/semiconductors/memory/that-new-memory-smell-tech-can-tell-you-if-your-flash-is-new-or-recycled
banderon,44,17013985,17014783 17016390 17014622 17015812 17015583,93,1525710137,"As Kubernetes grows, a startup ecosystem develops in its wake",story,https://techcrunch.com/2018/05/07/as-kubernetes-grows-a-startup-ecosystem-develops-in-its-wake/
anacleto,3,17015607,17016014,14,1525720744,How to accelerate revenue for SaaS startups,story,https://www.plainflow.com/blog/account-based-marketing-tactics/
ivan4th,16,17013283,17016426 17013779 17013596 17014094 17013634 17014592,124,1525705592,Virtlet: run VMs as Kubernetes pods,story,https://www.mirantis.com/blog/virtlet-run-vms-as-kubernetes-pods/
montrose,1,17014541,17016258,20,1525713642,Operation Ivy Bells,story,https://en.wikipedia.org/wiki/Operation_Ivy_Bells
codeka,38,17014122,17015277 17015168 17015632 17015104 17016340 17014847 17015470 17014941 17015194,51,1525710997,"Volvo to Use Google Assistant, Play Store and Maps in Next-Gen Infotainment",story,https://www.media.volvocars.com/us/en-us/media/pressreleases/228639/volvo-cars-to-embed-google-assistant-google-play-store-and-google-maps-in-next-generation-infotainme
runesoerensen,127,17014807,17015167 17015528 17014954 17015057 17016450 17015219 17015377 17016171 17015209 17015378 17015325 17015602 17014881 17015366 17015086 17015809 17015468,142,1525715563,Uber vehicle reportedly saw but ignored woman it struck,story,https://techcrunch.com/2018/05/07/uber-vehicle-reportedly-saw-but-ignored-woman-it-struck/
denzil_correa,121,17011938,17013534 17013770 17014064 17013095 17013295 17013195 17014116 17013813 17013218 17013231 17014817 17013464 17014332 17015106 17014193 17013694 17015722 17014052 17014275 17013845 17013049 17013164 17013649,196,1525693225,12-year study will look at effects of universal basic income,story,http://mitsloan.mit.edu/newsroom/articles/12-year-study-looks-at-effects-of-universal-basic-income/
okket,27,17011939,17012329 17012601,196,1525693234,Core Erlang by Example,story,http://blog.erlang.org/core-erlang-by-example/
brault,2,17016088,17016366 17016409,8,1525723922,The Big Lie of Venture Capital,story,http://www.montrealintechnology.com/the-big-lie-of-venture-capital/
